snapshot_date,category,seniority,tier,listings_with_ai,total_listings,pct,required_count
3/12/2026,ai,all,any_ai,253,266,95.1,253
3/12/2026,ai,all,genai,210,266,78.9,207
3/12/2026,ai,all,ml,186,266,69.9,186
3/12/2026,ai,entry,any_ai,1,1,100,1
3/12/2026,ai,entry,genai,1,1,100,1
3/12/2026,ai,entry,ml,1,1,100,1
3/12/2026,ai,mid,any_ai,138,147,93.9,138
3/12/2026,ai,mid,genai,120,147,81.6,119
3/12/2026,ai,mid,ml,100,147,68,100
3/12/2026,ai,senior,any_ai,114,118,96.6,114
3/12/2026,ai,senior,genai,89,118,75.4,87
3/12/2026,ai,senior,ml,85,118,72,85
3/12/2026,data,all,any_ai,90,149,60.4,89
3/12/2026,data,all,genai,28,149,18.8,28
3/12/2026,data,all,ml,80,149,53.7,79
3/12/2026,data,mid,any_ai,24,57,42.1,24
3/12/2026,data,mid,genai,7,57,12.3,7
3/12/2026,data,mid,ml,23,57,40.4,23
3/12/2026,data,senior,any_ai,66,92,71.7,65
3/12/2026,data,senior,genai,21,92,22.8,21
3/12/2026,data,senior,ml,57,92,62,56
3/12/2026,devops,all,any_ai,10,83,12,10
3/12/2026,devops,all,genai,9,83,10.8,9
3/12/2026,devops,all,ml,6,83,7.2,6
3/12/2026,devops,mid,any_ai,7,30,23.3,7
3/12/2026,devops,mid,genai,7,30,23.3,7
3/12/2026,devops,mid,ml,3,30,10,3
3/12/2026,devops,senior,any_ai,3,53,5.7,3
